REF,Désignation produit,Code EAN,Prix/U. avant promotions,Prix/U.,Colisage,Qté,P. Conditionement,N. Colis,Poids brut,Unité de poids,HT,TVA
351250,Pur Jus de Pomme;BIO 20cl x 6,3580283512508,1.94,1.94,4.00,1,7.76,1,1.20,LIT,7.76,5.5
351227,Pur Jus Mandarine Orange Sanguine bouteille 1l,3580283512270,1.49,1.49,6.00,1,8.94,1,1.00,LIT,8.94,5.5
351226,Pur jus orange eau de coco mandarine bouteille 1l,3580283512263,1.45,1.45,6.00,2,8.70,2,1.00,LIT,17.40,5.5
351224,Pur jus de pamplemousse rose bouteille 1l,3580283512249,1.95,1.95,6.00,1,11.70,1,1.00,LIT,11.70,5.5
351221,Pur jus multifruits 12 fruits,3580283512218,1.29,1.29,6.00,2,7.74,2,1.00,LIT,15.48,5.5
351138,Pur jus de tomate de Provence bouteille 1l,3580283511389,0.99,0.99,6.00,1,5.94,1,1.00,LIT,5.94,5.5
321577,Crakers salés paquet 250g,8002590012915,0.61,0.61,20.00,2,12.20,2,0.25,KG,24.40,5.5
321576,Crakers au romarin paquet 250g,8002590017514,0.72,0.72,20.00,2,14.40,2,0.25,KG,28.80,5.5
321542,Grissini huile d'olive; étui 125g,8002333007437,0.49,0.49,16.00,1,7.84,1,0.13,KG,7.84,5.5
3214021,Biscuits au fromage et tomates séchées 75gr,8710873002903,0.99,0.99,8.00,2,7.92,2,0.08,KG,15.84,5.5
3214001,Biscuit au gouda crumble pqt 75gr,8710873002880,0.96,0.96,8.00,2,7.68,2,0.08,KG,15.36,5.5
311303,"Croûtons pour salade nature, sachet 75gr",3185200000634,0.49,0.49,18.00,1,8.82,1,0.08,,8.82,5.5
293025,Sauce à cuisiner fajitas ; bocal 430g Camarillo,3580282930259,1.33,1.33,12.00,1,15.96,1,0.43,KG,15.96,5.5
293010,Sauce mexicaine Medium Camarillo bocal 310gr,3580282930105,0.98,0.98,12.00,1,11.76,1,0.31,KG,11.76,5.5
293004,Tortillas chips nature; paquet 200g Camarillo,3580282930044,0.64,0.64,22.00,1,14.08,1,0.20,KG,14.08,5.5
281660,Champignons noirs séchés entiers;pqt 80g Chao'an,3580282816607,1.10,1.10,50.00,1,55.00,1,0.08,KG,55.00,5.5
