Odoo Cat,Product Category SuperCoop,Unterkategorie SuperCoop,REF,Désignation produit,Code EAN,Prix/U. avant promotions,Prix/U.,Colisage,Qté,P. Conditionement,N. Colis,Poids brut,Unité de poids,HT,TVA
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,421520,Cèpes sauvages séchés en tranches sachet 40g,3580284215200,3.15,3.15,12.00,1,37.80,1,0.04,KG,37.80,5.5
"All / nicht alkoholische 
 Getränke / Säfte & Sirup","nicht alkoholische 
 Getränke",Säfte & Sirup,351553,Sirop de Pêche BIO France bouteille 50cl,3217690060017,1.89,1.89,6.00,1,11.34,1,0.50,LIT,11.34,5.5
"All / nicht alkoholische 
 Getränke / Säfte & Sirup","nicht alkoholische 
 Getränke",Säfte & Sirup,351552,Sirop de Menthe BIO France bouteille 50cl,3217690059998,1.89,1.89,6.00,1,11.34,1,0.50,LIT,11.34,5.5
"All / nicht alkoholische 
 Getränke / Säfte & Sirup","nicht alkoholische 
 Getränke",Säfte & Sirup,351551,Sirop de Citron BIO France bouteille 50cl,3217690060000,1.89,1.89,6.00,1,11.34,1,0.50,LIT,11.34,5.5
"All / nicht alkoholische 
 Getränke / Säfte & Sirup","nicht alkoholische 
 Getränke",Säfte & Sirup,351550,Sirop de Grenadine BIO France bouteille 50cl,3217690059929,1.89,1.89,6.00,1,11.34,1,0.50,LIT,11.34,5.5
All / nicht alkoholische Getränke / Säfte & Sirup,nicht alkoholische Getränke,Säfte & Sirup,351221,Pur jus multifruits 12 fruits,3580283512218,1.29,1.29,6.00,1,7.74,1,1.00,LIT,7.74,5.5
All / Convenience & Konserven / Chips & salzige snacks,Convenience & Konserven,Chips & salzige snacks,321577,Crakers salés paquet 250g,8002590012915,0.61,0.61,20.00,1,12.20,1,0.25,KG,12.20,5.5
All / Convenience & Konserven / Chips & salzige snacks,Convenience & Konserven,Chips & salzige snacks,321576,Crakers au romarin paquet 250g,8002590017514,0.72,0.72,20.00,1,14.40,1,0.25,KG,14.40,5.5
All / Convenience & Konserven / Chips & salzige snacks,Convenience & Konserven,Chips & salzige snacks,321542,Grissini huile d'olive; étui 125g,8002333007437,0.49,0.49,16.00,1,7.84,1,0.13,KG,7.84,5.5
All / Convenience & Konserven / Chips & salzige snacks,Convenience & Konserven,Chips & salzige snacks,321524,Gressins au sésame Griss d'or paquet 250g,8002333010048,1.09,1.09,11.00,1,11.99,1,0.25,KG,11.99,5.5
"All / Convenience & Konserven / Chips, tortilla & crackers",Convenience & Konserven,"Chips, tortilla & crackers",3214021,Biscuits au fromage et tomates séchées 75gr,8710873002903,0.99,0.99,8.00,1,7.92,1,0.08,KG,7.92,5.5
"All / Convenience & Konserven / Chips, tortilla & crackers",Convenience & Konserven,"Chips, tortilla & crackers",3214001,Biscuit au gouda crumble pqt 75gr,8710873002880,0.96,0.96,8.00,1,7.68,1,0.08,KG,7.68,5.5
"All / Öle, Fette, Essig & Würzmittel / Gewürze & Kräuter","Öle, Fette, Essig & Würzmittel",Gewürze & Kräuter,311306,Croûtons goût ail; paquet 75g,3185200018011,0.32,0.32,20.00,1,6.40,1,0.08,KG,6.40,5.5
"All / Öle, Fette, Essig & Würzmittel / Gewürze & Kräuter","Öle, Fette, Essig & Würzmittel",Gewürze & Kräuter,311303,"Croûtons pour salade nature, sachet 75gr",3185200000634,0.49,0.44,18.00,1,8.82,1,0.08,KG,7.94,5.5
"All / Brot & Backwaren / Back & 
 Dessertwelt",Brot & Backwaren,"Back & 
 Dessertwelt",311203,Chapelure; boîte 250g Bloch,3090070105030,0.91,0.91,12.00,1,10.92,1,0.25,KG,10.92,5.5
"All / Öle, Fette, Essig & Würzmittel / Gewürze & Kräuter","Öle, Fette, Essig & Würzmittel",Gewürze & Kräuter,304863,Piment d'Espelette AOP BIO ; pot 40g,3760101440071,5.50,5.50,12.00,1,66.00,1,0.04,KG,66.00,5.5
"All / Öle, Fette, Essig & Würzmittel / Gewürze & Kräuter","Öle, Fette, Essig & Würzmittel",Gewürze & Kräuter,304862,Bouquets garnis BIO 15g,3580283048625,2.41,2.41,27.00,1,65.07,1,0.02,KG,65.07,5.5
"All / Brot & Backwaren / Back & 
 Dessertwelt",Brot & Backwaren,"Back & 
 Dessertwelt",302648,Agar Agar gélifiant végétal BIO Sainte Lucie,3162050035108,1.39,1.39,24.00,1,33.36,1,0.01,KG,33.36,5.5
"All / Convenience & Konserven / Chips, tortilla & crackers",Convenience & Konserven,"Chips, tortilla & crackers",293025,Sauce à cuisiner fajitas ; bocal 430g Camarillo,3580282930259,1.33,1.33,12.00,1,15.96,1,0.43,KG,15.96,5.5
