GRN,greenorganics - Biotropic
SPI,Spielberger GmbH
BOL,Bohlsener Mühle
MOR,Morgenland - EgeSun GmbH
DAV,Davert - Midsona
BAK,Bauck GmbH & Co KG
BYO,Byodo Naturkost
FEL,Felicia - eco united GmbH
ZWE,Zwergenwiese
BLÜ,Blütenmeer Imkerei
DÖW,Dörrwerk GmbH Rettergut 
LIM,Lima n.V.
ARC,Arche Naturprodukte
SAC,Sanchon Petersilchen GmbH
DAN,Danival
NAT,Naturata AG
LEB,Lebensbaum
MOO,Ölmühle Moog
MAN,Mani Bläuel GmbH
LIT,Lilith GmbH
SEL,La Selva Toskana Feinkost Vertriebs GmbH
swk,Spreewald Rabe
BTR,Biotropic
VNI,Vivani - EcoFinia GmbH
BLU,Blumenbrot - EKIBIO SAS
ALO,Allos Hof Manufaktur GmbH
LNA,Linea Natura - Continental Bakeries
GEP,GEPA FAIR HANDELSHAUS
VOE,Voelkel GmbH
ALO,Allos Hof-Manufaktur GmbH
NEU,Neumarkter Lammsbräu
ÄND,ÄNDE
AND,Andechser Natur
